,DisplayText,Duration,Offset
0,Hur.,0.6,0.22
1,S hmm kul så blir årets första kul.,6.4,23.95
2,Hmm.,1.49,35.7
3,Jag är inte vår park.,1.28,38.08
4,Vad gör du och vart kommer du ifrån? Jag heter led när jag kommer från bestämma sverige.,6.85,41.15
5,Vad heter du på mac kommer ifrån är jätte rolig och det kommer bli trevligt att träffas.,8.74,49.0
6,"Eller med andra ord, vi måste beskriva i ord och jag ska försöka gissning. Vad visas på surfplattan med en liten bil? Vi har en minut på sig att beskriva medan vi försöker att visa. Det finns egentligen inte säga själva ordet eller varianter av ordet.",19.44,60.5
7,Hmm. Vi ska spela cirka 20 minuter efter spelet får vi hela tiden redan nu kör vi.,7.72,84.1
8,"Hmm, det är något såna gör. Hmm, bröd.",5.42,101.77
9,"Ja, hmm. Som det är ens jobb jaha.",5.11,108.78
10,Vad heter den personen när du letar efter? Ja.,5.16,116.25
11,"Hmm, du kom så verkade. Hmm bagare.",4.84,124.96
12,"Hmm, men har detta är detta är en en typ av mat som man har. Jag var en macka hmm det är kött, men vilken typ av kött har man spelar med? Hmm?",16.48,135.25
13,Sims.,0.59,152.16
14,Ja så.,3.19,156.23
15,"Det här är nånting, så får du har och det hjälper dom kriga. Hmm, järn.",8.32,159.54
16,Det är ett ställe i huset där man också att länderna gå på toa sätta sig. Ja.,9.76,171.43
17,Hmm då.,1.49,184.98
18,Hmm.,1.46,187.16
19,Ja.,0.67,190.63
20,"Vad händer med det här vädret? Det är väldigt dålig och det låter jättemycket. The thesis, det är ju ser väldigt. Hmm ja hmm.",13.05,193.36
21,Ja hmm visst ja.,2.6,207.36
22,"Hmm, det är ju en typ av möbel som man kan se sig själv. Jaha.",6.39,212.46
23,Hmm färg.,1.63,221.96
24,Hmm.,1.59,224.99
25,Hmm fönst.,1.71,226.63
26,Hmm skrev precis.,2.14,228.77
27,"Ja, det är ett djur ett litet djur. Hmm. Så finns överallt i skogen? Ja, och hmm.",12.99,233.77
28,Hmm.,1.65,247.35
29,Det är nånting man gör när man sår. Jaha.,4.4,251.09
30,"När man ser att tillgång i huvudet med massa, vad kallas dig? Ja.",5.36,260.08
31,Hmm fin men.,3.62,269.02
32,Vad göra?,0.64,274.34
33,Hmm drömmar.,1.56,276.45
34,"Ja, det här personen är. Hmm, ja.",6.14,282.43
35,Väldigt hmm har väldigt hög position i storbritannien? Hmm prinsessan hmm hmm.,11.7,289.78
36,"Kanske inte i storbritannien. Bara jag inte bara väntade. Hmm, det är ju ja. Det var igår.",7.9,301.79
37,Nånting man sett och när man ska skicka vidare.,3.67,311.34
38,Ja.,0.86,315.58
39,Vad sätter man för ett chef för att kunna skicka iväg ja?,4.37,322.32
40,,3.36,330.08
41,Hmm.,1.57,333.49
42,Det är ett hmm verktyg man använder för att till exempel måla ja vägen.,8.84,339.23
43,Hmm hmm.,3.84,350.04
44,"Man brukar kalla detta vis något som jag ha något som har dött, så brukar dom dyka upp.",9.66,358.35
45,Jag har formellt är det verkligen reda på detta sätt?,3.42,369.51
46,"Hmm, ska jag åka?",1.56,373.89
47,Ja.,0.87,377.8
48,"Det är ett sätt att värdera. Hmm, borde kanske någon student, någon elev i skolan? Ja.",11.45,380.57
49,Man får hmm omdöme hmm recension hmm.,6.8,394.19
50,Ja ja hmm men in av detta priset om man kommer på första plats till exempel i mormyska spel ja.,11.95,401.05
51,Hmm.,1.48,416.08
52,Hmm.,1.53,418.09
53,Hmm men han hmm jaha.,5.01,420.09
54,"Det är mamma. Hon fågel ja tomma lever med. Ja, och den har vatten under vatten. Ja.",10.72,426.91
55,Först undrar över.,1.18,440.58
56,Hmm.,1.59,443.65
57,Det är ja typ av butik där man kan köpa medicinen. Ja.,6.46,447.79
58,Man man går till detta stället för att hämta sina mediciner. Hmm.,5.92,463.59
59,Hmm ja det.,1.6,472.12
60,"Ja, hmm där.",2.93,477.72
61,"Många många människor har vänner hemma som inte är människor. Hmm, husdjur.",8.91,483.0
62,En människa som går brukar lämna detta efter sig ha till exempel om går i snö. Hmm barn.,9.96,495.29
63,Hmm svårt.,1.93,508.14
64,"Hmm, det är ju djur som hmm.",5.03,512.3
65,Hmm.,1.75,518.34
66,Där det är sant? Ja.,3.05,520.5
67,Och hmm.,1.92,524.39
68,Stod.,0.52,528.22
69,Outfit.,1.22,530.7
70,Den här var karl man så att säga jaha.,4.48,536.86
71,Hmm.,1.5,545.11
72,Hmm björn ja.,3.43,546.66
73,Hmm.,1.24,551.71
74,Så.,0.82,554.29
75,Många fram fall får samarbeta.,4.05,558.82
76,Hmm london.,1.64,566.17
77,Hmm ja det var så envis byggnad av en religiös byggnad kommer man en ett väldigt stort.,14.0,573.15
78,Nästa del i byggnaden som sticker upp väldigt högt hmm 21.,5.55,591.39
79,Ja hmm.,1.72,601.37
80,Så det är hmm. En släkting ja men hmm.,7.85,605.34
81,Hmm.,1.49,613.6
82,Som är syskon till en förälder.,3.15,617.2
83,Hmm sänkningar.,1.82,622.36
84,Hmm nya syster.,2.06,628.19
85,"Ja man brukade kalla heller, men detta inom om man går in där.",7.04,632.42
86,Hmm just barn. Hmm så det är ok. Hmm man ja.,6.41,644.24
87,"Du hänger in mina kläder i detta. Hmm objekt, ja.",6.76,654.83
88,Det är ett stort objekt där du med din till exempel i nacka ändå fina foton. Hmm eller nej.,9.98,666.16
89,"Hmm, inte råd.",1.46,678.22
90,"Hmm, när en person dör.",5.16,683.17
91,Alltså ligger man under hmm varken ovanpå finns? Hmm ja en sak som.,12.01,689.23
92,Bilen.,0.44,703.64
93,Hmm.,1.5,706.22
94,Hmm granit hmm sten hmm grafi.,5.44,707.77
95,"Detta är en sport som utövas oftast i friidrott. Hmm, så.",8.29,716.9
96,Hmm.,1.25,725.7
97,Hmm.,1.65,731.71
98,Det är hmm djur.,2.8,737.98
99,Jaha som har.,1.83,741.37
100,Hon.,0.85,744.97
101,"Den, hmm, det här djuret hmm går väldigt mycket i berg. Det är också en rättfram tecken. Hmm sten.",11.72,749.15
102,Hmm.,1.49,764.52
103,Hmm.,1.49,767.31
104,"Det är nånting, så många har hemma för att hmm, känns som lite natur eller viktig del av natur och hmm. 3 komma nej inom inom puss.",18.36,770.17
105,I små blommor exempel.,2.8,791.27
106,Man vattnade.,1.08,797.6
107,Hmm.,1.18,800.28
108,Ja hmm.,3.47,804.29
109,Om detta är tillåtet då får hmm.,5.19,812.17
110,Hålla människor vara med och bestämma. Det blir samtal.,4.92,819.39
111,"Hmm, detta är hmm.",4.45,828.4
112,Någonting? Hmm?,2.92,833.48
113,Vill hmm ja låg ny skola kan till exempel och hmm det är hemligt. Hmm lösenord.,12.03,837.43
114,Så en högt uppsatt person inom köken. Ja hej då.,7.9,853.24
115,Hmm posten hmm hmm hmm pastorn.,5.11,863.37
116,Hmm.,1.5,869.35
117,Jaha.,0.72,872.5
