,DisplayText,Duration,Offset
0,Så att gång.,1.2,0.02
1,Första.,1.95,6.28
2,"Okej, i första världskriget.",3.19,14.92
3,"Hur når oss? Hmm hej, jag heter lite år.",4.69,24.23
4,"Vad gör du och vart kommer det ifrån? Jag heter det, jag kommer från kina.",6.02,30.63
5,Jag har inte du kommer ifrån eller oscar kommer att vara sverige.,4.89,37.68
6,Trevligt att träffas.,1.27,43.58
7,Senast spelade med andra ord. Vi måste beskriva ett ord. Jag ska försöka this app.,5.58,47.09
8,"Hmm, vi har jag nu på att skriva medan jag försöker att visa det finns en kille. Hon kan inte säga själva ordet eller varianter av ordet alla andra partier för att beskriva och den är tillåtna.",15.03,56.26
9,Vi ska spela cirka 20 minuter efter att spelet får väl hänga med lön. Redan nu kör vi det här frågorna.,8.12,72.19
10,"Jag är från, kan vi visa dig det är kring, hmm.",5.34,82.01
11,Det är som en gris vilt och kött.,2.98,87.63
12,Från en strumpa.,1.18,91.79
13,"Man hoppade och mackor. Ja hmm julmat jul hmm. Tänkte även julmat som man brukar hör liksom till rätten till hmm, det är en bit från risk är man skicka ja perfekt.",21.94,95.04
14,"Hmm, det är prov för för kung kunskap. Hmm, prinsessa.",6.61,119.51
15,Ja nej nej äldre. Det är den kvinnliga versionen av en kung.,5.62,126.17
16,Hmm.,1.57,132.59
17,"Finns i schack för en kung och hmm, ja hmm.",6.36,134.39
18,Det är att.,1.29,143.4
19,"Hmm, men du vinner ett pris då kommer första plats då får du ofta en sån här hmm rundan.",7.19,145.82
20,Hmm ja haha hmm varje land har en hmm ja och till ja.,10.45,154.47
21,Ja du har det på. Hmm kostar.,3.87,166.26
22,För att det ska gå igenom? Ja.,2.93,171.36
23,Ja.,1.06,175.68
24,"Det finns en film eller castle? Ja, det gälla om en varelse. Ja, vad ska vi gå igenom? Väggar ofta som är läskig.",9.76,179.79
25,Kan gå igenom väggar. Hmm spöke ja.,4.25,191.53
26,Hmm.,0.54,198.67
27,"Där du går på toaletten, det är ett ja.",3.52,200.12
28,"Du kan duscha sig det, det är ro, men det är ju bra. Jaha, du får det medicin härifrån. Det kanske var poster webbutik hmm nätet.",15.32,205.27
29,"Ja nej, det är lokal som går dit och köper olika mediciner.",5.5,221.53
30,Hmm.,0.97,231.71
31,Apotek ja.,1.49,233.63
32,Vid typ har roliga.,2.82,237.41
33,"Ja men sover så visualiserar saker, men det är väl vad heter dom sakerna? Hmm drömmar ja.",9.94,242.37
34,"Ja, det är ett objekt som du kan kolla på. Reflekterar ljus dollar.",4.2,254.93
35,Du baserar sig i den?,2.04,260.61
36,"Du kan se sig själv i den hmm smällen. Ja ja, en person som hmm ja gör bra till exempel får jobba på ett konditori hmm bagare ja jaha.",18.67,263.94
37,När du målar du har den objekt i handen och stoppade i fel och du mår många med den hmm ja jaha hmm det är en inser vilse ja insekt med 8 ben ja.,19.98,285.47
38,"Hmm, som är kan skapa nät ja.",4.09,306.9
39,"Hmm, det finns ett sånt är din syn. Ja.",4.32,312.74
40,"Nej, men elektriskt ljus stråle som kommer från himlen här stormar.",6.09,319.51
41,Hmm.,1.67,328.75
42,"Hur fågeln som som ligger under natten och äter en massa. Ja han låter hon ok? Ja, det anses vara visa den här frågorna jaha hmm och man kan vara uppe sent på kvällen kan vara en natt hmm.",24.63,333.65
43,Ja.,0.6,360.08
44,"Hmm, ja, är det kvar?",5.23,369.93
45,Hej uggla jag.,1.09,376.32
46,Fågeln.,0.97,380.6
47,Tiden.,0.49,383.97
48,"Om, det är okej?",1.51,386.37
49,Ja.,0.73,392.41
50,"Bara en gammal, jag har stannat upp.",2.72,397.02
51,Ja.,0.3,401.18
52,"Hmm, skulle vara säker.",1.68,404.78
53,Ja.,0.48,408.29
54,Första.,0.82,424.79
55,Ska du göra från början?,1.77,440.09
56,"Just nu skriver, jag har väl känt.",2.18,453.52
